name,year,rating,votes,reviews,Title Type
Frogman,2023,5,2119,https://www.imdb.com/title/tt21377766/,Movie
Frozen,2013,7.4,697057,https://www.imdb.com/title/tt2294629/,Movie
Frozen II,2019,6.8,211461,https://www.imdb.com/title/tt4520988/,Movie
Futurama: Bender's Big Score,2007,7.6,36106,https://www.imdb.com/title/tt0471711/,Video
Futurama: Bender's Game,2008,7.2,22345,https://www.imdb.com/title/tt1054486/,Video
Futurama: Into the Wild Green Yonder,2009,7.2,19861,https://www.imdb.com/title/tt1054487/,Video
Futurama: The Beast with a Billion Backs,2008,7.1,25688,https://www.imdb.com/title/tt1054485/,Video
Gifted,2017,7.6,154378,https://www.imdb.com/title/tt4481414/,Movie
Girl Lost,2016,6.1,7145,https://www.imdb.com/title/tt3115906/,Movie
Girls State,2024,6.6,1021,https://www.imdb.com/title/tt30259532/,Movie
God Is a Bullet,2023,5.8,8634,https://www.imdb.com/title/tt14270702/,Movie
Guardians of the Galaxy,2014,8,1334959,https://www.imdb.com/title/tt2015381/,Movie
Guardians of the Galaxy Vol. 2,2017,7.6,808348,https://www.imdb.com/title/tt3896198/,Movie
Guardians of the Galaxy Vol. 3,2023,7.9,447047,https://www.imdb.com/title/tt6791350/,Movie
Half of a Yellow Sun,2013,6.1,2254,https://www.imdb.com/title/tt2215077/,Movie
Happy Gilmore,1996,7,295623,https://www.imdb.com/title/tt0116483/,Movie
Happy Gilmore 2,2025,6.1,98036,https://www.imdb.com/title/tt31868189/,Movie
How to Date Billy Walsh,2024,5.2,4105,https://www.imdb.com/title/tt16156616/,Movie
How to Have Sex,2023,6.4,21410,https://www.imdb.com/title/tt22890246/,Movie
How to Train Your Dragon,2025,7.8,95227,https://www.imdb.com/title/tt26743210/,Movie
How to Train Your Dragon 2,2014,7.8,391059,https://www.imdb.com/title/tt1646971/,Movie
How to Train Your Dragon: Homecoming,2019,7.3,7594,https://www.imdb.com/title/tt11112140/,TV Movie
How to Train Your Dragon: The Hidden World,2019,7.4,171156,https://www.imdb.com/title/tt2386490/,Movie
Hypnotic,2023,5.5,44128,https://www.imdb.com/title/tt8080204/,Movie
I Am Street Fighter: 25 Years of Inspiration,2012,6,6,https://www.imdb.com/title/tt13519520/,Video
I Am Urban,2015,6.6,181,https://www.imdb.com/title/tt3590858/,Movie
I Know What You Did Last Summer,2025,5.2,25971,https://www.imdb.com/title/tt4045450/,Movie
I Know What You Did Last Summer,1997,5.8,174590,https://www.imdb.com/title/tt0119345/,Movie
I See You,2019,6.8,73019,https://www.imdb.com/title/tt6079516/,Movie
I Still Know What You Did Last Summer,1998,4.8,85482,https://www.imdb.com/title/tt0130018/,Movie
I.S.S.,2023,5.3,13151,https://www.imdb.com/title/tt13655120/,Movie
I'll Always Know What You Did Last Summer,2006,3.3,15405,https://www.imdb.com/title/tt0469111/,Video
Immaculate,2024,5.8,56488,https://www.imdb.com/title/tt23137390/,Movie
In the Land of Saints and Sinners,2023,6.4,28711,https://www.imdb.com/title/tt15782690/,Movie
Incredibles 2,2018,7.5,358556,https://www.imdb.com/title/tt3606756/,Movie
Infinite Storm,2022,5.3,12396,https://www.imdb.com/title/tt14060232/,Movie
Inheritance,2020,5.6,22709,https://www.imdb.com/title/tt7923220/,Movie
Inside Out,2015,8.1,884846,https://www.imdb.com/title/tt2096673/,Movie
Inside Out 2,2024,7.5,231598,https://www.imdb.com/title/tt22022452/,Movie
Ip Man 2,2010,7.5,114908,https://www.imdb.com/title/tt1386932/,Movie
Ip Man 3,2015,7,63226,https://www.imdb.com/title/tt2888046/,Movie
Ip Man 4: The Finale,2019,7,39529,https://www.imdb.com/title/tt2076298/,Movie
Iron Man,2008,7.9,1192804,https://www.imdb.com/title/tt0371746/,Movie
Iron Man 2,2010,6.9,916423,https://www.imdb.com/title/tt1228705/,Movie
Iron Man 3,2013,7.1,944807,https://www.imdb.com/title/tt1300854/,Movie
Justice League,2017,6,497329,https://www.imdb.com/title/tt0974015/,Movie
Karate Kid: Legends,2025,6.3,32522,https://www.imdb.com/title/tt1674782/,Movie
Katt Williams: Woke Foke,2024,5.2,1110,https://www.imdb.com/title/tt32046453/,TV Special
Killers of the Flower Moon,2023,7.5,290212,https://www.imdb.com/title/tt5537002/,Movie
Kim Possible,2019,3.8,3971,https://www.imdb.com/title/tt7979492/,TV Movie
Kim Possible: So the Drama,2005,7.1,5402,https://www.imdb.com/title/tt0446724/,TV Movie
Land of Bad,2024,6.6,55027,https://www.imdb.com/title/tt19864802/,Movie
Last Sentinel,2023,4.9,8265,https://www.imdb.com/title/tt5153956/,Movie
Late Night with the Devil,2023,7,135202,https://www.imdb.com/title/tt14966898/,Movie
Leroy & Stitch,2006,6.1,8147,https://www.imdb.com/title/tt0486761/,Video
Lightyear,2022,6.1,132883,https://www.imdb.com/title/tt10298810/,Movie
Lilo & Stitch,2025,6.7,75173,https://www.imdb.com/title/tt11655566/,Movie
Lilo & Stitch,2002,7.4,237351,https://www.imdb.com/title/tt0275847/,Movie
Lilo & Stitch 2: Stitch Has a Glitch,2005,6.2,20804,https://www.imdb.com/title/tt0457993/,Video
Lisa Frankenstein,2024,6.1,29671,https://www.imdb.com/title/tt21188080/,Movie
Little Lips,1978,5.3,1103,https://www.imdb.com/title/tt0077682/,Movie
Logan,2017,8.1,903905,https://www.imdb.com/title/tt3315342/,Movie
Losing Ground,1982,6.6,1011,https://www.imdb.com/title/tt0084269/,Movie
Love & Friendship,2016,6.4,27329,https://www.imdb.com/title/tt3068194/,Movie
Love and Sunshine,2019,7.1,1701,https://www.imdb.com/title/tt10369978/,TV Movie
Luca,2021,7.4,215140,https://www.imdb.com/title/tt12801262/,Movie
Madu,2024,5.3,275,https://www.imdb.com/title/tt14152882/,Movie
Man of Steel,2013,7.1,853128,https://www.imdb.com/title/tt0770828/,Movie
Manodrome,2023,4.7,3677,https://www.imdb.com/title/tt14813150/,Movie
Meg 2: The Trench,2023,5,97299,https://www.imdb.com/title/tt9224104/,Movie
Merry Good Enough,2023,4.7,270,https://www.imdb.com/title/tt23782540/,Movie
Miss Potter,2006,7,33288,https://www.imdb.com/title/tt0482546/,Movie
